Access Control,Alcohol Notalcohol,Area Type1,A Crash,A People,Basetypedesc,Begin Node Dsc,Belted Unbelted,Bikeage,Bikegen,Bikeinjurytype,Bikevehiclenumber,Bike Nonbike,BMP,B Crash,B People,Carspeedlimit,Collision Type,Comm Cargo Body Type Cd,Comm Vehicle Body Type Cd,Cotedrouteid,Coted Mp,Count App,CRASH_DT (copy),Crash Dt,Crash Event Type Dsc,Crash Military Tm,Crash Severity,Crash Year,Curbgutterdesc,C Crash,C People,Juris Name Used,Area Type Used,First Harmful Event of Entire Crash,MAINLINE,Time Slicing Used,Phy_Juris_Nm,Offset-Ft,Intersection Analysis,Clear,Calculation_9640323132123359,Day Of Week,Deer Nodeer,Direction Of Travel Cd,Distracted Notdistracted,VSP,TOTAL CRASH,Document Nbr,Driverage,Drivergen,Driverinjurytype,Drivervehiclenumber,Driver Action Type Cd,Driver Airbag Deployment,Driver Alcohol Test Type Cd,Driver Condition Type Cd,Driver Distraction Type Cd,Driver Drinking Type Cd,Driver Drug Use Cd,Driver Ejected From Vehicle,Driver Ems Transport Ind,Driver Fled Scene Ind,Driver Safety Equip Used,Driver Vis Obscured Type Cd,Drowsy Notdrowsy,Drug Nodrug,EMP,End Node,End Node Dsc,End Offset,Facility,FAC,First Crash Event Cd,First Harmful Event,Fourth Crash Event Cd,Functionalclass,FUN,Govcondesc,Gr Nogr,Hitrun Not Hitrun,Initial Veh Impact Area Cd,Injury Crashes,Intersection Type,Int Doc,Jurtype,K_CRASH,K People,LAT (copy),LAT,Leftshoulderwidth,Length,Lgtruck Nonlgtruck,Light Condition,Located Unlocated,LON (copy),LON,MAINLINE (group),Mainline Yn,Medianleftshoulderwidth,Medianrightshoulderwidth,Mediantypedesc,Medianwidthmax,Medianwidthmin,Median Type,Most Harmful Crash Event Cd,Motor Nonmotor,Node,Node Info,Node Totaadt2011,Node Totaadt2012,Node Totaadt2013,Node Totaadt2014,Node Totaadt2015,Numberoflane,Number of Records,Offset,Ownership,Passage,Passgen,Passinjurytype,Passvehiclenumber,Pass Airbag Deployment,Pass Ejected From Vehicle,Pass Ems Transport Ind,Pass Safety Equip Used,Pavementconditionvalue,Pavementroughnessvalue,Pavementwidth,Pdo Crash,Total People Killed & Injured,Pedage,Pedestrians Injured,Pedestrians Killed,Pedgen,Pedinjurytype,Pednumber,Ped Action,Ped Al Test,Ped Cond,Ped Drink,Ped Drug,Ped Nonped,Ped Rflct,Persons Injured,Persons Killed,Physical Juris Nm,PJR,VSP_Used,Rd Type,Relation To Roadway,Rightshoulderwidth,RNS_MP (0.25 mi bin),Rns Mp,Roadway Alignment,Roadway Defect,Roadway Description,Roadway Surface Cond,Roadway Surface Type,Route Or Street Nm,Rte Category Cd,Rte Cat,Rte Nm,Ruralurbandesc,School Zone,Second Crash Event Cd,Segtotaadt2011,Segtotaadt2012,Segtotaadt2013,Segtotaadt2014,Segtotaadt2015,Senior Notsenior,Sidewalkdesc,Speed Before,Speed Max Safe,Speed Notspeed,Speed Posted,Start Node,Start Offset,Summons Issued Cd,Surfacedesc,Third Crash Event Cd,Time Slicing,Total Crashes including Property Damage Only,Total Crash,Traffic Control Type,Trfc Ctrl Status Type,Truckcommr,Vehiclenumber,Vehicle Body Type Cd,Vehicle Make Nm,Vehicle Maneuver Type Cd,Vehicle Model Nm,Vehicle Year Nbr,District,District_Used ,Weather Condition,Work Zone Location,Work Zone Related,Work Zone Type,Young Notyoung
,Not ALCIHOL,Urban,0,0,,,Not UNBELTED,14,Female,C,2,BIKE,,0,0,,16. Other,"Not Provided,Not Provided","Not Provided,Not Provided",,,,8/25/2011,8/25/2011,22. Bicycle,1840,C.Non-Visible Injury,2011,,1,1,Virginia Beach,Urban,22. Bicycle,MAIN,6PM TO 9PM,134.Virginia Beach,,Not Intersection,Reset Filters,VDOT_OTHER,Thursday,Not DEER,"West,North",DISTRACTED,5,1,112425163,36,Female,"PDO,C","1,2","1. No Improper Action,22. Disregarded Stop or Yield Sign","2. Not Deployed,3. Unavailable/Not Applicable","Not Applicable,Not Applicable","1. No Defects,1. No Defects","Not Applicable,5. Radio/CD, etc.","1. Had Not Been Drinking,1. Had Not Been Drinking","2. No,2. No","1. Not Ejected,3. Totally Ejected","No,Yes","No,No","3. Lap and Shoulder Belt,9. Not Applicable","1. Not Obscured,1. Not Obscured",,,,,,,,,"22,20",1. On Roadway,"0,0",,,,Not GUARDRAIL,Not HIT_RUN,"10,12",1,4. Four Approaches,,C,0,0,36.817963,36.817963,,,Not LRTRUCK,2. Daylight,UNLOCATED,-76.096141,-76.096141,MAINLINE,,,,,,,,"22,20",Not MOTORCYCLE,,.,,,,,,,1,,SEC_URBAN,,,,,,,,,,,,0,1,,0,0,,,,,,,,,Not PED,,1,0,Virginia Beach,134,5,NOT-RD,9. Within Intersection,,,,1. Straight - Level,1. No Defects,"1. Two-Way, Not Divided",1. Dry,"2. Blacktop, Asphalt, Bituminous",GARFIELD AVENUE,UNKWN,SC,U-VA134SC99999UK,,3. No,"0,0",,,,,,Not SENIOR,,15,"25,25",Not SPEED,"25,25",,,"2. No,1. Yes",,"0,0",6PM TO 9PM,1,1,4. Stop Sign,1. Yes - Working,,"1,2","1. Passenger car,9. Bicycle","Honda,UNK","1. Going Straight Ahead,1. Going Straight Ahead","Civic,BICYLCE",2003,5,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),Not Provided,2. No,Not Provided,Not YOUNG
,Not ALCIHOL,Urban,0,0,,,Not UNBELTED,59,Male,B,2,BIKE,,1,1,,2. Angle,"Not Provided,Not Provided","Not Provided,Not Provided",,,,8/26/2011,8/26/2011,20. Motor Vehicle In Transport,1151,B.Visiible Injury,2011,,0,0,Virginia Beach,Urban,20. Motor Vehicle In Transport,MAIN,9AM TO 12PM,134.Virginia Beach,,Not Intersection,Reset Filters,VDOT_OTHER,Friday,Not DEER,"South,East",DISTRACTED,5,1,112475190,64,Male,"PDO,B","1,2","11. Did Not Have Right-of-Way,1. No Improper Action","2. Not Deployed,3. Unavailable/Not Applicable","Not Applicable,Not Applicable","1. No Defects,1. No Defects","11. Other,Not Applicable","1. Had Not Been Drinking,1. Had Not Been Drinking","2. No,2. No","1. Not Ejected,3. Totally Ejected","No,Yes","No,No","3. Lap and Shoulder Belt,9. Not Applicable","1. Not Obscured,1. Not Obscured",,,,,,,,,"20,20",1. On Roadway,"0,0",,,,Not GUARDRAIL,Not HIT_RUN,"12,10",1,4. Four Approaches,,C,0,0,36.843084,36.843084,,,Not LRTRUCK,2. Daylight,UNLOCATED,-76.078055,-76.078055,MAINLINE,,,,,,,,"20,20",Not MOTORCYCLE,,.,,,,,,,1,,SEC_URBAN,,,,,,,,,,,,0,1,,0,0,,,,,,,,,Not PED,,1,0,Virginia Beach,134,5,NOT-RD,9. Within Intersection,,,,1. Straight - Level,1. No Defects,"1. Two-Way, Not Divided",1. Dry,"2. Blacktop, Asphalt, Bituminous",3300 BLK KINGS GRANT RD,UNKWN,SC,U-VA134SC99999UK,,3. No,"0,0",,,,,,Not SENIOR,,"2,2","35,45",Not SPEED,"35,45",,,"2. No,2. No",,"0,0",9AM TO 12PM,1,1,8. Yield Sign,1. Yes - Working,,"1,2","3. Van,9. Bicycle","Ford,BEACH CRUISER","2. Making Right Turn,1. Going Straight Ahead","Econoline Commercial Chassis,NONE",19972000,5,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),Not Provided,2. No,Not Provided,Not YOUNG
No Access Control,Not ALCIHOL,Urban,1,1,"N/A, Unknown, or Unstabilized",BENDIX RD(R)/,Not UNBELTED,43,Male,A,1,BIKE,1.97,0,0,,5. Sideswipe - Opposite Direction,"Not Provided,Not Provided","Not Provided,Not Provided",13408738,2.151,4,8/29/2011,8/29/2011,22. Bicycle,620,A.Ambulatory Injury,2011,Left and Right sides,0,0,Virginia Beach,Urban,22. Bicycle,MAIN,6AM TO 9AM,134.Virginia Beach,"4,652",Intersection,Reset Filters,VDOT_OTHER,Monday,Not DEER,"West,West",,5,1,113215109,35,Male,"A,PDO","1,2","10. Wrong Side Of Road - Not Overtaking,1. No Improper Action","3. Unavailable/Not Applicable,2. Not Deployed","4. No Test,4. No Test","1. No Defects,1. No Defects","Not Applicable,Not Applicable","1. Had Not Been Drinking,1. Had Not Been Drinking","3. Unknown,3. Unknown","3. Totally Ejected,1. Not Ejected","Yes,NotProvided","No,No","8. No Restraint Used,3. Lap and Shoulder Belt","1. Not Obscured,1. Not Obscured",,,2,542232,SOUTH GUM AVE(L)/,0,0,"0.Two-way, non-divided","20,22",1. On Roadway,"0,0",I,I.Urban Collector,Other City or Town Streets (not state maintained),Not GUARDRAIL,Not HIT_RUN,"1,2",1,1. Not at Intersection,113215109,C,0,0,36.83698,36.83698,0,0.19,Not LRTRUCK,1. Dawn,LOCATED,-76.12427,-76.12427,MAINLINE,MAIN,0,0,0,0,0,Undivided Roadway,"20,22",Not MOTORCYCLE,541201,541201.  SR00225       SR00225      13408738      13408738,85379,79700,80436,77516,82244,4,1,0.881,SEC_URBAN,,,,,,,,,0,0,52,0,1,,0,0,,,,,,,,,Not PED,,1,0,Virginia Beach,134,5,RD-UNKNOWN,1. Main-Line Roadway,0,2,2.16,1. Straight - Level,1. No Defects,"1. Two-Way, Not Divided",1. Dry,"2. Blacktop, Asphalt, Bituminous",4300 BLK BONNEY RD,URB,UR,R-VA134UR08738WB,"Urbanized (Population 200,000 and over)",3. No,"0,0",13066,13161,13283,12800,13473,Not SENIOR,Left and Right sides,35,35,Not SPEED,35,542231,0,"1. Yes,2. No",0,"0,0",6AM TO 9AM,1,1,6. Traffic Lanes Marked,1. Yes - Working,Not a Parkway - Trucks and Commercial Vehicles Allowed,"1,2","9. Bicycle,22. Truck - Sport Utility Vehicle (SUV)","BICYCLE,BUICK","1. Going Straight Ahead,1. Going Straight Ahead","UNK,RENDEZVOUS",2003,5,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),Not Provided,2. No,Not Provided,Not YOUNG
,ALCOHOL,Urban,1,1,,,Not UNBELTED,44,Male,A,2,BIKE,,0,0,,2. Angle,"Not Provided,Not Provided","Not Provided,Not Provided",,,,8/29/2011,8/29/2011,22. Bicycle,1457,A.Ambulatory Injury,2011,,0,0,Newport News,Urban,22. Bicycle,MAIN,12PM TO 3PM,121.Newport News,,Not Intersection,Reset Filters,VDOT_OTHER,Monday,Not DEER,"West,South",,5,1,112910050,26,Male,"PDO,A","1,2","1. No Improper Action,37. Other","2. Not Deployed,2. Not Deployed","Not Applicable,Not Applicable","1. No Defects,8. Other","Not Applicable,Not Applicable","1. Had Not Been Drinking,5. Drinking - Not Known Whether Impaired","Not Applicable,3. Unknown","1. Not Ejected,3. Totally Ejected","No,No","No,No","3. Lap and Shoulder Belt,9. Not Applicable","1. Not Obscured,1. Not Obscured",,,,,,,,,"22,20",1. On Roadway,"0,0",,,,Not GUARDRAIL,Not HIT_RUN,"2,12",1,4. Four Approaches,,C,0,0,37.076073,37.076073,,,Not LRTRUCK,2. Daylight,UNLOCATED,-76.494547,-76.494547,MAINLINE,,,,,,,,"22,20",Not MOTORCYCLE,,.,,,,,,,1,,SEC_URBAN,,,,,,,,,,,,0,1,,0,0,,,,,,,,,Not PED,,1,0,Newport News,121,5,NOT-RD,9. Within Intersection,,,,1. Straight - Level,1. No Defects,"1. Two-Way, Not Divided",1. Dry,"2. Blacktop, Asphalt, Bituminous",MIDDLESEX RD,UNKWN,SC,U-VA121SC99999UK,,3. No,"0,0",,,,,,Not SENIOR,,"3,5","0,0",SPEED,"25,0",,,"2. No,2. No",,"0,0",12PM TO 3PM,1,1,3. Traffic Signal,1. Yes - Working,,"1,2","1. Passenger car,9. Bicycle",TOYOTA,"2. Making Right Turn,15. Other",CAMRY,2009,5,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),Not Provided,2. No,Not Provided,Not YOUNG
No Access Control,Not ALCIHOL,Urban,1,1,Bituminous Concrete (Black Base),24TH STREET(B)/,Not UNBELTED,20,Female,A,2,BIKE,1.24,0,0,,2. Angle,"Not Provided,Not Provided","Not Provided,Not Provided",12208569,1.249,4,8/31/2011,8/31/2011,20. Motor Vehicle In Transport,759,A.Ambulatory Injury,2011,Left and Right sides,0,0,Norfolk,Urban,20. Motor Vehicle In Transport,MAIN,6AM TO 9AM,122.Norfolk,269,Intersection,Reset Filters,VDOT_OTHER,Wednesday,Not DEER,"East,South",,5,1,112650341,36,Female,"PDO,A","1,2","1. No Improper Action,1. No Improper Action","2. Not Deployed,3. Unavailable/Not Applicable","4. No Test,4. No Test","1. No Defects,1. No Defects","Not Applicable,Not Applicable","1. Had Not Been Drinking,1. Had Not Been Drinking","2. No,2. No","1. Not Ejected,3. Totally Ejected","No,Yes","No,No","3. Lap and Shoulder Belt,9. Not Applicable","12. Sun or Headlight Glare,1. Not Obscured",,,1,485267,25TH STREET(B)/,0,0,"0.Two-way, non-divided","20,20",1. On Roadway,"0,0",I,I.Urban Collector,Other City or Town Streets (not state maintained),Not GUARDRAIL,Not HIT_RUN,"12,3",1,4. Four Approaches,112650341,C,0,0,36.870301,36.870301,0,0.01,Not LRTRUCK,1. Dawn,LOCATED,-76.283901,-76.283901,MAINLINE,MAIN,0,0,0,0,0,Undivided Roadway,"20,20",Not MOTORCYCLE,483542,483542.  SR00247       SR00247      12208569      12208569,17192,17449,17973,17663,17025,2,1,0.051,SEC_URBAN,,,,,,,,,0,0,36,0,1,,0,0,,,,,,,,,Not PED,,1,0,Norfolk,122,5,NOT-RD,9. Within Intersection,0,1,1.25,1. Straight - Level,1. No Defects,"1. Two-Way, Not Divided",1. Dry,"2. Blacktop, Asphalt, Bituminous",2500 BLK GRANBY ST,URB,UR,R-VA122UR08569SB,"Urbanized (Population 200,000 and over)",3. No,"0,0",9001,8826,8745,8767,6997,Not SENIOR,Left and Right sides,"10,0","25,0",Not SPEED,"25,0",485266,0.04,"2. No,2. No",0,"0,0",6AM TO 9AM,1,1,4. Stop Sign,1. Yes - Working,Not a Parkway - Trucks and Commercial Vehicles Allowed,"1,2","1. Passenger car,9. Bicycle",TOYOTA,"1. Going Straight Ahead,1. Going Straight Ahead",CAMRY,2010,5,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),Not Provided,2. No,Not Provided,YOUNG
No Access Control,Not ALCIHOL,Urban,0,0,Bituminous Concrete (Black Base),NEWTON RD(B)/,Not UNBELTED,17,Male,B,1,BIKE,1.04,1,1,,2. Angle,"Not Provided,Not Provided","Not Provided,Not Provided",11407008,1.116,3,8/31/2011,8/31/2011,22. Bicycle,1540,B.Visiible Injury,2011,Left and Right sides,0,0,Hampton,Urban,22. Bicycle,MAIN,3PM TO 6PM,114.Hampton,21,Intersection,Reset Filters,VDOT_OTHER,Wednesday,Not DEER,"North,West",,5,1,113010139,67,Male,"B,PDO","1,2","11. Did Not Have Right-of-Way,1. No Improper Action","3. Unavailable/Not Applicable,2. Not Deployed","4. No Test,4. No Test","1. No Defects,1. No Defects","Not Applicable,Not Applicable","1. Had Not Been Drinking,1. Had Not Been Drinking","2. No,2. No","1. Not Ejected,1. Not Ejected","No,No","No,No","8. No Restraint Used,3. Lap and Shoulder Belt","1. Not Obscured,1. Not Obscured",,,1,253108,SR-00169(B)/BUCKROE AV,0,1,"1.Divided, no control of access","20,22",1. On Roadway,"0,0",I,I.Urban Collector,Other City or Town Streets (not state maintained),Not GUARDRAIL,Not HIT_RUN,"12,11",1,4. Four Approaches,113010139,C,0,0,37.045308,37.045308,0,0.08,Not LRTRUCK,2. Daylight,LOCATED,-76.30158,-76.30158,MAINLINE,MAIN,0,0,Curbed Grass,16,3,Divided Roadway,"20,22",Not MOTORCYCLE,253108,253108.  SR00169       SR00169      11407008,8707,8519,7422,7157,7302,3,1,0.004,SEC_URBAN,,,,,,,,,3,0,48,0,1,,0,0,,,,,,,,,Not PED,,1,0,Hampton,114,5,NOT-RD,9. Within Intersection,0,1,1.12,1. Straight - Level,1. No Defects,"1. Two-Way, Not Divided",1. Dry,"2. Blacktop, Asphalt, Bituminous",NICKERSON BLVD,URB,UR,R-VA114UR07008WB,"Urbanized (Population 200,000 and over)",3. No,"0,0",4783,4687,3783,3648,3722,SENIOR,Left and Right sides,"5,15","0,30",Not SPEED,"30,30",253254,0,"1. Yes,2. No",0,"0,0",3PM TO 6PM,1,1,3. Traffic Signal,1. Yes - Working,Not a Parkway - Trucks and Commercial Vehicles Allowed,"1,2","9. Bicycle,1. Passenger car","PACIFIC,CHRYSLER","3. Making Left Turn,1. Going Straight Ahead","8 SPPED EVOL,PACIFICA",2005,5,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),Not Provided,2. No,Not Provided,YOUNG
,Not ALCIHOL,Urban,0,0,,,Not UNBELTED,19,Male,B,1,BIKE,,1,1,,2. Angle,"Not Provided,Not Provided","Not Provided,Not Provided",,,,8/31/2011,8/31/2011,22. Bicycle,1339,B.Visiible Injury,2011,,0,0,Portsmouth,Urban,22. Bicycle,MAIN,12PM TO 3PM,124.Portsmouth,,Not Intersection,Reset Filters,VDOT_OTHER,Wednesday,Not DEER,"South,West",,5,1,120605146,80,Male,"B,PDO","1,2","1. No Improper Action,1. No Improper Action","3. Unavailable/Not Applicable,2. Not Deployed","4. No Test,4. No Test","1. No Defects,1. No Defects","Not Applicable,Not Applicable","1. Had Not Been Drinking,1. Had Not Been Drinking","3. Unknown,3. Unknown","1. Not Ejected,1. Not Ejected","No,No","No,No","9. Not Applicable,3. Lap and Shoulder Belt","1. Not Obscured,1. Not Obscured",,,,,,,,,"20,22",1. On Roadway,"0,0",,,,Not GUARDRAIL,Not HIT_RUN,"6,11",1,1. Not at Intersection,,C,0,0,36.831363,36.831363,,,Not LRTRUCK,2. Daylight,UNLOCATED,-76.30618,-76.30618,MAINLINE,,,,,,,,"22,22",Not MOTORCYCLE,,.,,,,,,,1,,SEC_URBAN,,,,,,,,,,,,0,1,,0,0,,,,,,,,,Not PED,,1,0,Portsmouth,124,5,NOT-RD,8. Non-Intersection,,,,4. Grade - Curve,1. No Defects,5. Unknown,1. Dry,"2. Blacktop, Asphalt, Bituminous",700 BART ST,UNKWN,SC,U-VA124SC99999UK,,3. No,"22,0",,,,,,SENIOR,,"5,30","25,30",Not SPEED,"25,30",,,"2. No,2. No",,"0,0",12PM TO 3PM,1,1,1. No Traffic Control,6. No Traffic Control Device Present,,"1,2","9. Bicycle,2. Truck - Pick-up/Passenger Truck",TOYT,"15. Other,1. Going Straight Ahead",TACOMA,1999,5,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),Not Provided,2. No,Not Provided,YOUNG
No Access Control,Not ALCIHOL,Urban,0,0,Bituminous Concrete (Black Base),CAMPBELL RD(B)/,Not UNBELTED,20,Male,B,1,BIKE,0.17,1,1,,2. Angle,"Not Provided,Not Provided","Not Provided,Not Provided",12107104,0.171,4,9/1/2011,9/1/2011,22. Bicycle,1713,B.Visiible Injury,2011,Left and Right sides,0,0,Newport News,Urban,22. Bicycle,MAIN,3PM TO 6PM,121.Newport News,903,Intersection,Reset Filters,VDOT_OTHER,Thursday,Not DEER,"East,North",,5,1,112910059,59,Male,"B,PDO","1,2","12. Following Too Close,1. No Improper Action","3. Unavailable/Not Applicable,2. Not Deployed","4. No Test,4. No Test","1. No Defects,1. No Defects","Not Applicable,Not Applicable","1. Had Not Been Drinking,1. Had Not Been Drinking","2. No,2. No","3. Totally Ejected,1. Not Ejected","No,No","No,No","8. No Restraint Used,3. Lap and Shoulder Belt","5. Trees, Crops, etc.,5. Trees, Crops, etc.",,,1,727304,CHATHAM DR(R)/,0,1,"1.Divided, no control of access","20,22",1. On Roadway,"0,0",H,H.Urban Minor Arterial,Other City or Town Streets (not state maintained),Not GUARDRAIL,Not HIT_RUN,"3,12",1,4. Four Approaches,112910059,C,0,0,37.122421,37.122421,0,0.55,Not LRTRUCK,2. Daylight,LOCATED,-76.52343,-76.52343,MAINLINE,MAIN,0,0,Curbed Grass,14,4,Divided Roadway,"20,22",Not MOTORCYCLE,716487,716487.  US00060       US00060      12100014      12107104,52093,50941,53018,51129,52166,4,1,0.171,SEC_URBAN,,,,,,,,,0,0,54,0,1,,0,0,,,,,,,,,Not PED,,1,0,Newport News,121,5,NOT-RD,1. Main-Line Roadway,0,0,0.17,4. Grade - Curve,1. No Defects,"1. Two-Way, Not Divided",1. Dry,"2. Blacktop, Asphalt, Bituminous",CAMPBELL RD,URB,UR,R-VA121UR07104WB,"Urbanized (Population 200,000 and over)",3. No,"0,0",30985,30300,29532,28480,29057,Not SENIOR,Left and Right sides,"5,10","0,25",Not SPEED,"25,25",727303,0,"2. No,2. No",0,"0,0",3PM TO 6PM,1,1,3. Traffic Signal,1. Yes - Working,Not a Parkway - Trucks and Commercial Vehicles Allowed,"1,2","9. Bicycle,1. Passenger car",MAZDA,"15. Other,2. Making Right Turn",MILLENIA,1995,5,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),Not Provided,2. No,Not Provided,YOUNG
No Access Control,Not ALCIHOL,Urban,0,0,Bituminous Concrete (Black Base),OLD MALLORY ROAD(L)/,Not UNBELTED,24,Male,B,2,BIKE,3.29,1,1,,2. Angle,"Not Provided,Not Provided","Not Provided,Not Provided",SR00152,3.386,3,9/1/2011,9/1/2011,19. Ped,810,B.Visiible Injury,2011,Left and Right sides,0,0,Hampton,Urban,19. Ped,MAIN,6AM TO 9AM,114.Hampton,929,Intersection,Reset Filters,VDOT_OTHER,Thursday,Not DEER,"South,West",,5,1,113010144,,Not Provided,"PDO,B","1,2","22. Disregarded Stop or Yield Sign,1. No Improper Action","Not Provided,3. Unavailable/Not Applicable","4. No Test,4. No Test","1. No Defects,1. No Defects","Not Applicable,Not Applicable","6. Unknown,1. Had Not Been Drinking","3. Unknown,2. No","Not Provided,1. Not Ejected","NotProvided,No","Yes,No","Not Provided,9. Not Applicable","1. Not Obscured,1. Not Obscured",,,3,253070,LYNHAVEN DRIVE(L)/,0,0,"0.Two-way, non-divided","19,20",1. On Roadway,"0,0",H,H.Urban Minor Arterial,Urban Extensions - Primary Routes,Not GUARDRAIL,HIT_RUN,"12,3",1,3. Three Approaches,113010144,C,0,0,37.040627,37.040627,0,0.1,Not LRTRUCK,2. Daylight,LOCATED,-76.407008,-76.407008,MAINLINE,MAIN,0,0,0,0,0,Undivided Roadway,"19,20",Not MOTORCYCLE,253068,253068.  SR00152       SR00152      11407025,23815,23289,22824,22011,22457,4,1,0.176,PRI_URBAN,,,,,,,,,2.8,0,44,0,1,,0,0,,,,,,,,,Not PED,,1,0,Hampton,114,5,NOT-RD,9. Within Intersection,0,3.25,3.39,1. Straight - Level,1. No Defects,"2. Two-Way, Divided, Unprotected Median",1. Dry,"2. Blacktop, Asphalt, Bituminous",TODDS LANE,STPRI,SR,R-VA   SR00152EB,"Urbanized (Population 200,000 and over)",3. No,"0,0",20390,19939,21430,20667,21086,Not SENIOR,Left side,"0,10","40,40",Not SPEED,"40,40",253069,0,"Not Provided,2. No",0,"0,0",6AM TO 9AM,1,1,4. Stop Sign,1. Yes - Working,Not a Parkway - Trucks and Commercial Vehicles Allowed,"1,2","1. Passenger car,9. Bicycle",BICYCLE,"3. Making Left Turn,1. Going Straight Ahead",,,5,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),Not Provided,2. No,Not Provided,Not YOUNG
,Not ALCIHOL,Urban,1,1,,,Not UNBELTED,9,Female,A,2,BIKE,,0,0,,2. Angle,"Not Provided,Not Provided","Not Provided,Not Provided",,,,9/2/2011,9/2/2011,22. Bicycle,1730,A.Ambulatory Injury,2011,,0,0,Newport News,Urban,22. Bicycle,MAIN,3PM TO 6PM,121.Newport News,,Not Intersection,Reset Filters,VDOT_OTHER,Friday,Not DEER,"East,East",,5,1,113400053,30,Female,"PDO,A","1,2","1. No Improper Action,9. Other Improper Passing","2. Not Deployed,5. Unknown","4. No Test,4. No Test","1. No Defects,1. No Defects","Not Applicable,Not Applicable","1. Had Not Been Drinking,1. Had Not Been Drinking","2. No,2. No","1. Not Ejected,Not Provided","No,Yes","No,No","3. Lap and Shoulder Belt,Not Provided","1. Not Obscured,Not Applicable",,,,,,,,,"22,20",1. On Roadway,"0,0",,,,Not GUARDRAIL,Not HIT_RUN,"10,9",1,2. Two Approaches,,C,0,0,37.125264,37.125264,,,Not LRTRUCK,2. Daylight,UNLOCATED,-76.485072,-76.485072,MAINLINE,,,,,,,,"22,20",Not MOTORCYCLE,,.,,,,,,,1,,SEC_URBAN,,,,,,,,,,,,0,1,,0,0,,,,,,,,,Not PED,,1,0,Newport News,121,5,NOT-RD,1. Main-Line Roadway,,,,1. Straight - Level,1. No Defects,"1. Two-Way, Not Divided",1. Dry,"2. Blacktop, Asphalt, Bituminous",WESTPORT CRES,UNKWN,SC,U-VA121SC99999UK,,3. No,"0,0",,,,,,Not SENIOR,,"25,8","25,25",Not SPEED,"25,25",,,"2. No,Not Provided",,"0,0",3PM TO 6PM,1,1,4. Stop Sign,6. No Traffic Control Device Present,,"1,2","1. Passenger car,9. Bicycle",HONDA,"1. Going Straight Ahead,3. Making Left Turn",ODYSSEY,2011,5,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),Not Provided,2. No,Not Provided,Not YOUNG
